"","V1","V2"
"1",0,0
"2",0.105353505774926,0.105348091747452
"3",0,0
"4",0.105353505774926,0.105348091747452
"5",0.10543115144572,0.10542081834611
"6",0.105354526377581,0.105348969392952
"7",0.158031226586715,0.158012875946988
"8",0.21070792679585,0.21065837802508
"9",0.515135006039618,0.508436969758492
"10",0.613668526298004,0.576368227921394
"11",0.627244753124049,0.585246249392467
"12",0.659788686610345,0.609279297879121
"13",0.671099209377857,0.618875874765953
"14",0.000120709363499649,0.000120704651295701
"15",0.700570477566014,0.62954834162468
"16",0.709592448765321,0.635070796392753
"17",0.742374062990157,0.650966843507866
"18",0.754674649359912,0.657328624463466
"19",0.772008407863419,0.614793910960075
"20",0.781087953351635,0.613396240626586
"21",0.8003036438325,0.606508219577422
"22",0.80645271955057,0.60404561129738
"23",0.806174056254434,0.606176909243202
"24",0.807200621893871,0.590293276344405
"25",0.122312636120633,0.122304200735427
"26",0.821789358963084,0.581311231734147
"27",0.838309491795556,0.57328920560831
"28",0.838697189244968,0.571658335648935
"29",0.848089104782211,0.561065307375752
"30",0.845330266568368,0.560640505921704
"31",0.858929261064064,0.543236070476838
"32",0.858531163007042,0.543507324532185
"33",0.85931768109543,0.542565635109134
"34",0,0
"35",1.12595931316306e-06,1.12595778588759e-06
"36",0.261961257024761,0.261841600711265
"37",0.82533166406554,0.549067595887218
"38",0.85941253273701,0.518428101818858
"39",0.883275314624981,0.479744940779721
"40",0.882865856721958,0.485089399263009
"41",0.887074854607324,0.471839257473936
"42",0.891750880473025,0.459825272642487
"43",0.90288451364314,0.435990164749927
"44",0.908176277069716,0.421161798706674
"45",0.914728776826623,0.39816638651608
"46",0.917043030958352,0.390011519433792
"47",0.894933469435,0.408740159208657
"48",0.923567550030784,0.363524326669337
"49",0.933597358374705,0.329493198857669
"50",0.939282023671291,0.306172629990545
"51",0.945001298506195,0.279955553829651
"52",NA,NA
"53",NA,NA
"54",NA,NA
"55",NA,NA
"56",NA,NA
"57",NA,NA
"58",NA,NA
"59",NA,NA
"60",NA,NA
"61",NA,NA
"62",NA,NA
"63",NA,NA
"64",NA,NA
"65",NA,NA
"66",NA,NA
"67",NA,NA
"68",NA,NA
"69",NA,NA
"70",NA,NA
"71",NA,NA
"72",NA,NA
"73",NA,NA
"74",NA,NA
"75",NA,NA
"76",NA,NA
"77",NA,NA
"78",NA,NA
"79",NA,NA
"80",NA,NA
"81",NA,NA
"82",NA,NA
"83",NA,NA
"84",NA,NA
"85",NA,NA
"86",NA,NA
"87",NA,NA
"88",NA,NA
"89",NA,NA
"90",NA,NA
"91",NA,NA
"92",NA,NA
"93",NA,NA
"94",NA,NA
"95",NA,NA
"96",NA,NA
"97",NA,NA
"98",NA,NA
"99",NA,NA
"100",NA,NA
"101",NA,NA
"102",NA,NA
"103",NA,NA
"104",NA,NA
"105",NA,NA
"106",NA,NA
"107",NA,NA
"108",NA,NA
"109",NA,NA
"110",NA,NA
"111",NA,NA
"112",NA,NA
"113",NA,NA
"114",NA,NA
"115",NA,NA
"116",NA,NA
"117",NA,NA
"118",NA,NA
"119",NA,NA
"120",NA,NA
"121",NA,NA
"122",NA,NA
"123",NA,NA
"124",NA,NA
"125",NA,NA
"126",NA,NA
"127",NA,NA
"128",NA,NA
"129",NA,NA
"130",NA,NA
"131",NA,NA
"132",NA,NA
"133",NA,NA
"134",NA,NA
"135",NA,NA
"136",NA,NA
"137",NA,NA
"138",NA,NA
"139",NA,NA
"140",NA,NA
"141",NA,NA
"142",NA,NA
"143",NA,NA
"144",NA,NA
"145",NA,NA
"146",NA,NA
"147",NA,NA
"148",NA,NA
"149",NA,NA
"150",NA,NA
"151",NA,NA
"152",NA,NA
"153",NA,NA
"154",NA,NA
"155",NA,NA
"156",NA,NA
"157",NA,NA
"158",NA,NA
"159",NA,NA
"160",NA,NA
"161",NA,NA
"162",NA,NA
"163",NA,NA
"164",NA,NA
"165",NA,NA
"166",NA,NA
"167",NA,NA
"168",NA,NA
"169",NA,NA
"170",NA,NA
"171",NA,NA
"172",NA,NA
"173",NA,NA
"174",NA,NA
"175",NA,NA
"176",NA,NA
"177",NA,NA
"178",NA,NA
"179",NA,NA
"180",NA,NA
"181",NA,NA
"182",NA,NA
"183",NA,NA
"184",NA,NA
"185",NA,NA
"186",NA,NA
"187",NA,NA
"188",NA,NA
"189",NA,NA
"190",NA,NA
"191",NA,NA
"192",NA,NA
"193",NA,NA
"194",NA,NA
"195",NA,NA
"196",NA,NA
"197",NA,NA
"198",NA,NA
"199",NA,NA
"200",NA,NA
"201",NA,NA
"202",NA,NA
"203",NA,NA
"204",NA,NA
