"","V1","V2"
"1",0.193430344563301,0.179605183964753
"2",0.386856554752814,0.315081341017164
"3",0.193430344563301,0.179605183964753
"4",0.386856554752814,0.315081341017164
"5",0.386856554752814,0.315081341017164
"6",0.386856554752814,0.315081341017164
"7",0.386856554752814,0.315081341017164
"8",0.386856554752814,0.315081341017164
"9",0.420730342101159,0.327961681528128
"10",0.479702125747345,0.349989004860408
"11",0.611266181229758,0.360186796939038
"12",0.649900904320634,0.357755237170218
"13",0.665007972637948,0.350558110428877
"14",0.371419334342118,0.303940282828307
"15",0.827795886033151,0.23003282057164
"16",0.829480576040411,0.232531343677835
"17",0.861449003953744,0.206247344568146
"18",0.873145936473302,0.197871878378464
"19",0.965224167859711,0.0439562628255641
"20",0.949735807923525,0.0642142946793303
"21",0.934582947149852,0.0842961014401443
"22",0.932934734697261,0.0884050295045201
"23",0.923437929772582,0.101642547557725
"24",0.935857661410375,0.0834517775122993
"25",0.449125886099569,0.343997498338462
"26",0.943438192451702,0.077333420627773
"27",0.959015098013436,0.0596083323486908
"28",0.957700980391282,0.0616218495895861
"29",0.950589498382055,0.0714163038400122
"30",0.962960002089744,0.0556805092874114
"31",0.974017780897401,0.0378392593068369
"32",0.974157461319051,0.0376682797123301
"33",0.963110067679294,0.0521926487534186
"34",0,0
"35",4.13437378779794e-06,4.13433698131917e-06
"36",0.642804114442585,0.355463642736404
"37",0.946015952659077,0.0680676658448289
"38",0.95453384419451,0.0623418428250649
"39",0.982139801041622,0.0257228063291422
"40",0.984467025335365,0.0227577092914624
"41",0.982683339642337,0.0248413156224836
"42",0.967817183467837,0.0445373670991291
"43",0.988122055937291,0.0169433811642976
"44",0.993494051508653,0.00951395371164589
"45",0.99280955465958,0.0101230371721763
"46",0.993883393145859,0.00841281366059636
"47",0.969624745067286,0.0395187991031757
"48",0.979692065566979,0.0281874999885761
"49",0.989689291166972,0.0144131428818426
"50",0.995150199748824,0.00682742092168793
"51",0.995368156433262,0.00673748268630675
"52",NA,NA
"53",NA,NA
"54",NA,NA
"55",NA,NA
"56",NA,NA
"57",NA,NA
"58",NA,NA
"59",NA,NA
"60",NA,NA
"61",NA,NA
"62",NA,NA
"63",NA,NA
"64",NA,NA
"65",NA,NA
"66",NA,NA
"67",NA,NA
"68",NA,NA
"69",NA,NA
"70",NA,NA
"71",NA,NA
"72",NA,NA
"73",NA,NA
"74",NA,NA
"75",NA,NA
"76",NA,NA
"77",NA,NA
"78",NA,NA
"79",NA,NA
"80",NA,NA
"81",NA,NA
"82",NA,NA
"83",NA,NA
"84",NA,NA
"85",NA,NA
"86",NA,NA
"87",NA,NA
"88",NA,NA
"89",NA,NA
"90",NA,NA
"91",NA,NA
"92",NA,NA
"93",NA,NA
"94",NA,NA
"95",NA,NA
"96",NA,NA
"97",NA,NA
"98",NA,NA
"99",NA,NA
"100",NA,NA
"101",NA,NA
"102",NA,NA
"103",NA,NA
"104",NA,NA
"105",NA,NA
"106",NA,NA
"107",NA,NA
"108",NA,NA
"109",NA,NA
"110",NA,NA
"111",NA,NA
"112",NA,NA
"113",NA,NA
"114",NA,NA
"115",NA,NA
"116",NA,NA
"117",NA,NA
"118",NA,NA
"119",NA,NA
"120",NA,NA
"121",NA,NA
"122",NA,NA
"123",NA,NA
"124",NA,NA
"125",NA,NA
"126",NA,NA
"127",NA,NA
"128",NA,NA
"129",NA,NA
"130",NA,NA
"131",NA,NA
"132",NA,NA
"133",NA,NA
"134",NA,NA
"135",NA,NA
"136",NA,NA
"137",NA,NA
"138",NA,NA
"139",NA,NA
"140",NA,NA
"141",NA,NA
"142",NA,NA
"143",NA,NA
"144",NA,NA
"145",NA,NA
"146",NA,NA
"147",NA,NA
"148",NA,NA
"149",NA,NA
"150",NA,NA
"151",NA,NA
"152",NA,NA
"153",NA,NA
"154",NA,NA
"155",NA,NA
"156",NA,NA
"157",NA,NA
"158",NA,NA
"159",NA,NA
"160",NA,NA
"161",NA,NA
"162",NA,NA
"163",NA,NA
"164",NA,NA
"165",NA,NA
"166",NA,NA
"167",NA,NA
"168",NA,NA
"169",NA,NA
"170",NA,NA
"171",NA,NA
"172",NA,NA
"173",NA,NA
"174",NA,NA
"175",NA,NA
"176",NA,NA
"177",NA,NA
"178",NA,NA
"179",NA,NA
"180",NA,NA
"181",NA,NA
"182",NA,NA
"183",NA,NA
"184",NA,NA
"185",NA,NA
"186",NA,NA
"187",NA,NA
"188",NA,NA
"189",NA,NA
"190",NA,NA
"191",NA,NA
"192",NA,NA
"193",NA,NA
"194",NA,NA
"195",NA,NA
"196",NA,NA
"197",NA,NA
"198",NA,NA
"199",NA,NA
"200",NA,NA
"201",NA,NA
"202",NA,NA
"203",NA,NA
"204",NA,NA
