"","V1","V2"
"1",0,0
"2",0,0
"3",0,0
"4",0,0
"5",0.00013678065718761,0.000136738998152505
"6",0,0
"7",0.19752598629556,0.193538699846934
"8",0.4362104786921,0.399707798814916
"9",0.623879825298517,0.47158018626106
"10",0.667020647121525,0.456594193970063
"11",0.670082888835785,0.440387235735307
"12",0.693618439575785,0.446802443593458
"13",0.718373827248674,0.437096134304548
"14",0.173065208977593,0.170480166152113
"15",0.711033086013842,0.432122372444257
"16",0.740781454578493,0.427248975859839
"17",0.768670462327568,0.41105930747
"18",0.816373864031558,0.388617570740264
"19",0.879146091134135,0.261372879531315
"20",0.858387139095514,0.28093143974267
"21",0.868167050631344,0.271779065462892
"22",0.874217299280678,0.263322928161039
"23",0.879476433102493,0.260610640386348
"24",0.891728501638443,0.23742850406359
"25",0.253213319311007,0.246363159289691
"26",0.879061119193314,0.252498504451677
"27",0.903438026327691,0.221334659392706
"28",0.908604865611796,0.212510864802344
"29",0.899889205722796,0.22405467650444
"30",0.904196733555714,0.217870724845596
"31",0.897187082915967,0.219595825629541
"32",0.931732590097041,0.170642207184525
"33",0.937792906692201,0.158612982464214
"34",0.17284572011323,0.17034895526895
"35",0.17284572011323,0.17034895526895
"36",0.298758275783925,0.287353366850271
"37",0.792922220421976,0.31429140119463
"38",0.882288330827207,0.235437762726146
"39",0.927926089331444,0.158456510732954
"40",0.949693196286476,0.126929440446868
"41",0.953334481044309,0.113848315094174
"42",0.952838557616463,0.111190762010603
"43",0.971917548748729,0.0730876695792552
"44",0.97432932368533,0.0665894955041372
"45",0.973262260953853,0.0669601001301873
"46",0.977614896095157,0.0575114028542998
"47",0.944030932331212,0.102131711545894
"48",0.977941011077989,0.0528059233003214
"49",0.98500401696811,0.036406891631257
"50",0.989693742717038,0.0240270910688478
"51",0.990772388341146,0.0206416957231387
"52",NA,NA
"53",NA,NA
"54",NA,NA
"55",NA,NA
"56",NA,NA
"57",NA,NA
"58",NA,NA
"59",NA,NA
"60",NA,NA
"61",NA,NA
"62",NA,NA
"63",NA,NA
"64",NA,NA
"65",NA,NA
"66",NA,NA
"67",NA,NA
"68",NA,NA
"69",NA,NA
"70",NA,NA
"71",NA,NA
"72",NA,NA
"73",NA,NA
"74",NA,NA
"75",NA,NA
"76",NA,NA
"77",NA,NA
"78",NA,NA
"79",NA,NA
"80",NA,NA
"81",NA,NA
"82",NA,NA
"83",NA,NA
"84",NA,NA
"85",NA,NA
"86",NA,NA
"87",NA,NA
"88",NA,NA
"89",NA,NA
"90",NA,NA
"91",NA,NA
"92",NA,NA
"93",NA,NA
"94",NA,NA
"95",NA,NA
"96",NA,NA
"97",NA,NA
"98",NA,NA
"99",NA,NA
"100",NA,NA
"101",NA,NA
"102",NA,NA
"103",NA,NA
"104",NA,NA
"105",NA,NA
"106",NA,NA
"107",NA,NA
"108",NA,NA
"109",NA,NA
"110",NA,NA
"111",NA,NA
"112",NA,NA
"113",NA,NA
"114",NA,NA
"115",NA,NA
"116",NA,NA
"117",NA,NA
"118",NA,NA
"119",NA,NA
"120",NA,NA
"121",NA,NA
"122",NA,NA
"123",NA,NA
"124",NA,NA
"125",NA,NA
"126",NA,NA
"127",NA,NA
"128",NA,NA
"129",NA,NA
"130",NA,NA
"131",NA,NA
"132",NA,NA
"133",NA,NA
"134",NA,NA
"135",NA,NA
"136",NA,NA
"137",NA,NA
"138",NA,NA
"139",NA,NA
"140",NA,NA
"141",NA,NA
"142",NA,NA
"143",NA,NA
"144",NA,NA
"145",NA,NA
"146",NA,NA
"147",NA,NA
"148",NA,NA
"149",NA,NA
"150",NA,NA
"151",NA,NA
"152",NA,NA
"153",NA,NA
"154",NA,NA
"155",NA,NA
"156",NA,NA
"157",NA,NA
"158",NA,NA
"159",NA,NA
"160",NA,NA
"161",NA,NA
"162",NA,NA
"163",NA,NA
"164",NA,NA
"165",NA,NA
"166",NA,NA
"167",NA,NA
"168",NA,NA
"169",NA,NA
"170",NA,NA
"171",NA,NA
"172",NA,NA
"173",NA,NA
"174",NA,NA
"175",NA,NA
"176",NA,NA
"177",NA,NA
"178",NA,NA
"179",NA,NA
"180",NA,NA
"181",NA,NA
"182",NA,NA
"183",NA,NA
"184",NA,NA
"185",NA,NA
"186",NA,NA
"187",NA,NA
"188",NA,NA
"189",NA,NA
"190",NA,NA
"191",NA,NA
"192",NA,NA
"193",NA,NA
"194",NA,NA
"195",NA,NA
"196",NA,NA
"197",NA,NA
"198",NA,NA
"199",NA,NA
"200",NA,NA
"201",NA,NA
"202",NA,NA
"203",NA,NA
"204",NA,NA
