"","V1","V2"
"1",0.109054367858036,0.108230440431491
"2",0.218106404798063,0.213546327281682
"3",0.109054367858036,0.108230440431491
"4",0.218106404798063,0.213546327281682
"5",0.218106404798063,0.213546327281682
"6",0.218106404798063,0.213546327281682
"7",0.218106404798063,0.213546327281682
"8",0.218106404798063,0.213546327281682
"9",0.256999622433775,0.248947371695326
"10",0.281240235651289,0.271983557758618
"11",0.331943379527497,0.315881122586627
"12",0.337902576392697,0.321353269327844
"13",0.353489763260231,0.334401570582981
"14",0.281897757035171,0.272610374266435
"15",0.422192189789491,0.387580863247084
"16",0.441688573737789,0.401603832688313
"17",0.46459150237651,0.416564906852274
"18",0.464559209656085,0.414316740392486
"19",0.573591928103319,0.460857907438872
"20",0.583980312840702,0.467039132481953
"21",0.578469877958066,0.464134575928736
"22",0.577642156123344,0.463647425988999
"23",0.58281383292268,0.466255673884169
"24",0.578468794553606,0.460240115040688
"25",0.253213319294038,0.246363159285541
"26",0.538916796656851,0.436143872247642
"27",0.564779811035233,0.451901042556773
"28",0.582014310149694,0.461456743085866
"29",0.57494956018918,0.458019702614949
"30",0.605039800525964,0.468799771418749
"31",0.594254378121242,0.462653076577931
"32",0.592698167544413,0.462371791372549
"33",0.589891408062386,0.460413985654613
"34",0.172845720095223,0.170348955259646
"35",0.172845720095223,0.170348955259646
"36",0.298758230080959,0.287353323102848
"37",0.555043749235472,0.438464867463846
"38",0.567340906143849,0.447542423850078
"39",0.58263762288516,0.455763694333535
"40",0.593318702256779,0.46094611288363
"41",0.603363905860708,0.46492544765034
"42",0.588030959157255,0.456845183595277
"43",0.620231784389322,0.468450608264458
"44",0.626032029208457,0.471366172391726
"45",0.637574100715975,0.473431408676581
"46",0.655334518892469,0.475796150737577
"47",0.628615446313844,0.463536729481154
"48",0.657612723982654,0.471169451255357
"49",0.673323451105292,0.471789326040895
"50",0.689838079021281,0.471279790248836
"51",0.691027712015138,0.470958828231513
