"","V1","V2"
"1",0.0723929502587086,0.0723593359763573
"2",0.144784353172483,0.144593824641777
"3",0.0723929502587086,0.0723593359763573
"4",0.144784353172483,0.144593824641777
"5",0.144859822517527,0.144651725478929
"6",0.144784353172483,0.144593824641777
"7",0.217175756086049,0.216550233791241
"8",0.217175756086049,0.216550233791241
"9",0.394382850722746,0.387310476553861
"10",0.428782360438969,0.419538119891228
"11",0.57130312164976,0.532301391136447
"12",0.660510353173251,0.559905986204355
"13",0.688502363917691,0.54936221710532
"14",0.187130609251969,0.186734804351263
"15",0.689565541734047,0.548153892598132
"16",0.741753313975899,0.551892929385611
"17",0.76527518369898,0.555090929711856
"18",0.773722269024416,0.555118894294067
"19",0.81699051086746,0.473939707787808
"20",0.808453864229257,0.470171904951015
"21",0.830802345252159,0.452534719191102
"22",0.836128521677862,0.451086574425204
"23",0.838462108347786,0.449658090959352
"24",0.844913613118311,0.436692853508129
"25",1.5473447251252e-06,1.54733886466401e-06
"26",0.850933511981052,0.423131896357265
"27",0.873292303274418,0.389776890270226
"28",0.87361151805244,0.390052267625157
"29",0.868667622732204,0.39691582032767
"30",0.875126010733104,0.38555492181624
"31",0.894743975651801,0.353111671705101
"32",0.895312851601978,0.351792525217416
"33",0.898102078049396,0.346673110410805
"34",0.114739206337985,0.114636095658031
"35",0.114739206337985,0.114636095658031
"36",0.278000687144874,0.276431646378061
"37",0.777112290514045,0.448057551059718
"38",0.878069302991754,0.362927130013133
"39",0.899029798971608,0.321129338411823
"40",0.925838137503408,0.261876399622893
"41",0.92435601017232,0.263932571222729
"42",0.927758262747527,0.24933217370811
"43",0.940326847578574,0.222954557575788
"44",0.946248640155078,0.203919028140571
"45",0.948109483104112,0.197584853501539
"46",0.954311310798437,0.174771054738066
"47",0.938440354336424,0.194513504270613
"48",0.95730095218862,0.158895132456756
"49",0.967755440234993,0.126572209509838
"50",0.972634444435572,0.108475939699299
"51",0.976215699378387,0.0937677304789296
"52",NA,NA
"53",NA,NA
"54",NA,NA
"55",NA,NA
"56",NA,NA
"57",NA,NA
"58",NA,NA
"59",NA,NA
"60",NA,NA
"61",NA,NA
"62",NA,NA
"63",NA,NA
"64",NA,NA
"65",NA,NA
"66",NA,NA
"67",NA,NA
"68",NA,NA
"69",NA,NA
"70",NA,NA
"71",NA,NA
"72",NA,NA
"73",NA,NA
"74",NA,NA
"75",NA,NA
"76",NA,NA
"77",NA,NA
"78",NA,NA
"79",NA,NA
"80",NA,NA
"81",NA,NA
"82",NA,NA
"83",NA,NA
"84",NA,NA
"85",NA,NA
"86",NA,NA
"87",NA,NA
"88",NA,NA
"89",NA,NA
"90",NA,NA
"91",NA,NA
"92",NA,NA
"93",NA,NA
"94",NA,NA
"95",NA,NA
"96",NA,NA
"97",NA,NA
"98",NA,NA
"99",NA,NA
"100",NA,NA
"101",NA,NA
"102",NA,NA
"103",NA,NA
"104",NA,NA
"105",NA,NA
"106",NA,NA
"107",NA,NA
"108",NA,NA
"109",NA,NA
"110",NA,NA
"111",NA,NA
"112",NA,NA
"113",NA,NA
"114",NA,NA
"115",NA,NA
"116",NA,NA
"117",NA,NA
"118",NA,NA
"119",NA,NA
"120",NA,NA
"121",NA,NA
"122",NA,NA
"123",NA,NA
"124",NA,NA
"125",NA,NA
"126",NA,NA
"127",NA,NA
"128",NA,NA
"129",NA,NA
"130",NA,NA
"131",NA,NA
"132",NA,NA
"133",NA,NA
"134",NA,NA
"135",NA,NA
"136",NA,NA
"137",NA,NA
"138",NA,NA
"139",NA,NA
"140",NA,NA
"141",NA,NA
"142",NA,NA
"143",NA,NA
"144",NA,NA
"145",NA,NA
"146",NA,NA
"147",NA,NA
"148",NA,NA
"149",NA,NA
"150",NA,NA
"151",NA,NA
"152",NA,NA
"153",NA,NA
"154",NA,NA
"155",NA,NA
"156",NA,NA
"157",NA,NA
"158",NA,NA
"159",NA,NA
"160",NA,NA
"161",NA,NA
"162",NA,NA
"163",NA,NA
"164",NA,NA
"165",NA,NA
"166",NA,NA
"167",NA,NA
"168",NA,NA
"169",NA,NA
"170",NA,NA
"171",NA,NA
"172",NA,NA
"173",NA,NA
"174",NA,NA
"175",NA,NA
"176",NA,NA
"177",NA,NA
"178",NA,NA
"179",NA,NA
"180",NA,NA
"181",NA,NA
"182",NA,NA
"183",NA,NA
"184",NA,NA
"185",NA,NA
"186",NA,NA
"187",NA,NA
"188",NA,NA
"189",NA,NA
"190",NA,NA
"191",NA,NA
"192",NA,NA
"193",NA,NA
"194",NA,NA
"195",NA,NA
"196",NA,NA
"197",NA,NA
"198",NA,NA
"199",NA,NA
"200",NA,NA
"201",NA,NA
"202",NA,NA
"203",NA,NA
"204",NA,NA
